127.0.0.1, 2024-06-03 08:59:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-06-03 08:59:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.069206
127.0.0.1, 2024-06-03 08:59:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001001
127.0.0.1, 2024-06-03 08:59:22, GET, /admin/default/site, HTTP/1.1, 200, 0.070999
127.0.0.1, 2024-06-03 08:59:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2024-06-03 08:59:29, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.243000
127.0.0.1, 2024-06-03 08:59:29, GET, /admin/static/_2.27.1/images/search.png, HTTP/1.1, 200, 0.004997
127.0.0.1, 2024-06-03 08:59:29, GET, /admin/static/_2.27.1/images/help.png, HTTP/1.1, 200, 0.005999
127.0.0.1, 2024-06-03 08:59:29, GET, /admin/static/_2.27.1/images/test_icon.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2024-06-03 08:59:29, GET, /admin/static/_2.27.1/images/delete_icon.png, HTTP/1.1, 200, 0.003999
127.0.0.1, 2024-06-03 08:59:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2024-06-03 08:59:57, GET, /admin/default/peek/examples/models/menu.py, HTTP/1.1, 200, 0.179001
127.0.0.1, 2024-06-03 08:59:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2024-06-03 09:00:15, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.477999
127.0.0.1, 2024-06-03 09:00:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2024-06-03 09:00:22, GET, /admin/default/peek/examples/models/session.py, HTTP/1.1, 200, 0.033000
127.0.0.1, 2024-06-03 09:00:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-06-03 09:00:26, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.487999
127.0.0.1, 2024-06-03 09:00:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-06-03 09:00:27, GET, /admin/default/peek/examples/models/markmin.py, HTTP/1.1, 200, 0.054003
127.0.0.1, 2024-06-03 09:00:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
